/usr/local/lib/python2.7/dist-packages/flask_sqlalchemy/__init__.py:800: UserWarning: SQLALCHEMY_TRACK_MODIFICATIONS adds significant overhead and will be disabled by default in the future.  Set it to True to suppress this warning.
  warnings.warn('SQLALCHEMY_TRACK_MODIFICATIONS adds significant overhead and will be disabled by default in the future.  Set it to True to suppress this warning.')
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
 * Restarting with stat
/usr/local/lib/python2.7/dist-packages/flask_sqlalchemy/__init__.py:800: UserWarning: SQLALCHEMY_TRACK_MODIFICATIONS adds significant overhead and will be disabled by default in the future.  Set it to True to suppress this warning.
  warnings.warn('SQLALCHEMY_TRACK_MODIFICATIONS adds significant overhead and will be disabled by default in the future.  Set it to True to suppress this warning.')
 * Debugger is active!
 * Debugger pin code: 175-798-784
129.49.252.175 - - [08/Mar/2016 22:03:07] "GET / HTTP/1.1" 200 -
24.189.16.229 - - [09/Mar/2016 11:39:18] "GET / HTTP/1.1" 200 -
24.189.16.229 - - [09/Mar/2016 11:39:18] "GET /static/css/index.css HTTP/1.1" 200 -
24.189.16.229 - - [09/Mar/2016 11:39:19] "GET /static/js/index.js HTTP/1.1" 200 -
24.189.16.229 - - [09/Mar/2016 11:39:19] "GET /static/imgs/christmas184.png HTTP/1.1" 200 -
24.189.16.229 - - [09/Mar/2016 11:39:19] "GET /static/font/glyphicons-halflings-regular.woff HTTP/1.1" 200 -
130.245.212.170 - - [09/Mar/2016 12:48:58] "GET / HTTP/1.1" 200 -
130.245.212.170 - - [09/Mar/2016 12:48:58] "GET /static/css/index.css HTTP/1.1" 304 -
130.245.212.170 - - [09/Mar/2016 12:48:58] "GET /static/js/index.js HTTP/1.1" 304 -
130.245.212.170 - - [09/Mar/2016 12:48:58] "GET /static/imgs/christmas184.png HTTP/1.1" 304 -
130.245.212.170 - - [09/Mar/2016 12:48:59] "GET /static/font/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
130.245.212.170 - - [09/Mar/2016 12:48:59] "GET /static/imgs/fav.ico HTTP/1.1" 404 -
115.28.142.148 - - [10/Mar/2016 18:50:57] "GET / HTTP/1.1" 200 -
115.28.142.148 - - [10/Mar/2016 18:50:58] "GET /static/imgs/christmas184.png HTTP/1.1" 200 -
115.28.142.148 - - [10/Mar/2016 18:50:58] "GET /static/css/index.css HTTP/1.1" 304 -
115.28.142.148 - - [10/Mar/2016 18:50:58] "GET /static/js/index.js HTTP/1.1" 304 -
115.28.142.148 - - [10/Mar/2016 18:50:59] "GET /static/font/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
115.28.142.148 - - [10/Mar/2016 18:51:00] "GET /static/imgs/fav.ico HTTP/1.1" 404 -
